h	w	p
204	370	2
200	374	2
198	379	2
200	383	2
198	392	2
160	288	2
160	288	2
160	288	2
158	288	2
158	288	2
158	288	2
158	288	2
160	288	2
158	288	3
162	286	3
152	518	3
146	520	2
152	518	1
152	519	1
148	519	1
146	519	1
148	518	1
152	520	1
154	520	1
152	520	1
152	520	1
154	520	1
156	523	1
159	520	1
162	518	1
164	515	1
167	511	1
172	509	1
170	510	1
170	509	1
170	505	1
172	503	1
174	502	1
172	502	1
172	501	1
176	498	1
178	496	1
178	496	1
170	500	1
166	493	1
166	491	1
170	487	1
168	491	1
168	487	1
172	478	1
176	473	1
184	465	1
182	465	1
178	464	1
180	462	1
180	460	1
180	460	1
182	457	1
182	457	1
180	460	1
182	460	1
184	460	1
184	461	1
184	461	1
182	460	1
184	460	1
182	461	1
176	464	1
182	460	1
180	458	1
178	456	1
176	455	1
172	455	1
170	455	1
168	452	1
166	448	1
166	443	1
168	442	1
176	442	1
176	442	1
176	437	1
174	434	1
180	433	1
180	434	1
180	433	1
180	430	1
180	428	1
180	426	1
182	421	1
180	420	1
182	419	1
184	416	1
184	416	1
184	419	1
184	416	1
186	415	1
190	410	1
192	410	1
190	408	1
227	401	2
231	397	1
235	394	1
237	392	1
239	388	1
243	385	1
245	383	1
245	379	1
247	379	1
251	379	1
251	376	1
253	374	2
255	374	2
301	366	3
303	365	2
305	365	2
305	364	2
305	363	2
305	361	2
305	359	2
303	358	2
303	358	2
303	358	2
305	358	2
305	357	2
303	359	2
301	360	2
297	362	2
297	363	1
293	364	2
237	374	1
233	375	1
227	379	1
229	379	1
231	379	1
227	383	1
227	388	1
225	392	1
223	394	1
223	394	1
219	397	1
219	398	1
219	401	1
221	401	1
223	401	1
225	401	1
229	401	1
235	402	1
239	403	1
239	402	1
239	402	1
247	401	1
253	398	1
257	397	1
267	393	1
273	388	2
275	384	2
275	381	2
275	376	2
273	376	2
273	375	2
271	372	2
271	371	2
271	368	2
271	368	3
271	368	3
269	367	3
269	367	3
267	366	3
267	365	3
269	365	3
269	365	3
271	364	3
269	364	2
267	365	1
271	363	1
275	362	1
281	361	1
287	360	1
285	360	1
289	358	2
291	358	3
293	357	3
291	357	3
291	357	3
221	364	3
221	363	3
221	364	3
221	363	3
265	360	3
231	362	2
233	362	2
231	362	2
235	360	2
237	360	2
235	360	1
235	359	1
235	359	1
237	358	1
235	358	2
233	361	1
235	361	2
237	361	2
239	359	2
239	360	2
233	363	2
231	365	2
229	368	2
233	367	2
229	370	2
214	379	2
206	385	2
207	388	2
208	389	2
208	389	2
207	393	1
196	397	1
170	406	1
164	411	1
164	415	1
166	415	1
166	416	1
168	419	1
168	425	1
170	428	1
170	428	1
172	430	1
174	433	1
176	433	1
178	433	1
176	429	2
197	359	2
196	353	2
198	350	1
200	348	1
202	347	1
204	345	1
204	344	1
203	342	1
206	342	1
209	341	1
209	339	1
207	337	1
202	335	1
202	333	1
202	331	1
204	328	1
203	327	1
204	326	1
205	324	1
207	322	1
