start_time	word
809.7	had
809.9	your
810.1	own
810.3	problems.
814.1	But
816.1	you.
818.1	What
820.1	a
822.1	bitch.
818.5	What?
819.7	You
819.9	know
820.1	what?
820.3	Be
820.5	that
820.7	as
820.9	it
821.1	may.
822.3	You
822.5	think
822.7	you
823.0	could
823.2	you
823.4	help
823.6	us
823.8	out
824.1	here
824.3	on
824.5	that
824.7	monkey
824.9	thing,
825.1	for
825.3	old
825.5	times'
825.7	sake?
826.9	Go,
827.1	Bobcats.
829.4	I
829.6	could.
829.8	But
830.0	I
830.2	won't.
832.6	If
832.8	I
833.0	find
833.2	that
833.4	monkey,
833.6	he's
833.8	mine.
836.5	[SINGING]
836.7	Da,
836.9	da,
837.1	da
840.9	Sorry.
844.6	[MARCEL
844.8	CHATTERING]
846.3	Marcel?
847.9	Marcel?
849.4	Marcel?
849.6	Marcel?
857.3	Hi,
857.5	can
857.7	I
857.9	help
858.1	you?
863.6	Uh,
863.8	we're
864.0	kind
864.2	of
864.4	having
864.6	an
864.8	emergency,
865.0	and,
865.2	ahem,
865.4	we
865.6	were
865.8	looking
866.0	for
866.2	something.
869.0	A
869.2	monkey.
869.4	Yes,
869.6	have
869.8	you
870.0	seen
870.2	any?
871.6	No.
871.9	No,
872.2	I
872.6	haven't
872.9	seen
873.2	a
873.5	monkey.
874.5	Do
874.7	you
874.9	know
875.1	anything
875.3	about
875.5	fixing
875.7	radiators?
876.6	Sure,
877.4	sure.
878.2	Did
879.0	you
879.2	try
879.4	turning
879.6	the
879.8	knob
880.0	back
880.2	the
880.4	other
880.6	way?
880.4	Of
880.6	course.
880.8	Oh.
881.0	Then,
881.2	no.
887.3	Taste
887.5	this
887.7	daiquiri.
887.9	Is
888.1	there
888.3	too
888.5	much
888.7	rum
888.9	in
889.1	here?
889.7	Just
889.9	a
890.1	second.
890.3	Hope
890.5	you
890.7	find
890.9	your
891.1	monkey.
892.5	Oh,
892.7	no,
892.9	wait.
893.1	No,
893.3	no,
893.5	no.
893.7	Wait,
893.9	wait.
894.6	Um,
894.8	we
895.0	may
895.2	not
895.4	know
895.6	about
895.8	radiators,
896.0	per
896.2	se...
898.3	...but
898.5	we
898.7	do
898.9	have
899.1	a
899.3	certain
899.5	amount
899.7	of
899.9	expertise...
900.5	...in
900.7	the
900.9	heating
901.1	and
901.3	cooling
901.5	milieu.
906.5	Uh,
906.7	weren't
906.9	we
907.1	kind
907.3	of
907.5	in
907.7	the
907.9	middle
908.1	of
908.3	something
908.5	here?
909.2	Yes,
909.4	but
909.6	these
909.8	women
910.0	are
910.2	very
910.4	hot
910.6	and
910.8	they
911.0	need
911.2	our
911.4	help.
913.9	And
915.9	they're
917.9	very
919.9	hot.
918.2	We
918.4	can't,
918.6	all
918.8	right?
920.3	We're
920.5	sorry.
921.9	You
923.9	have
925.9	no
927.9	idea
929.9	how
