h	w	p
229	349	2
229	346	2
231	346	2
231	346	2
233	346	2
233	346	2
233	345	2
235	345	2
235	344	2
235	342	2
235	342	2
235	342	2
237	345	2
235	346	2
233	346	2
231	346	1
229	346	1
225	350	1
222	351	1
219	351	1
216	351	1
213	350	1
211	350	1
209	351	1
208	351	1
206	351	1
206	354	1
205	354	1
205	354	1
206	355	1
208	357	1
208	357	1
207	355	1
207	355	1
207	355	1
208	357	1
210	359	1
210	359	1
210	359	1
212	361	1
212	361	1
212	360	1
211	358	1
210	356	1
208	353	1
207	351	1
204	346	1
192	319	1
192	315	2
193	315	2
192	310	2
193	306	2
193	306	2
220	367	2
221	370	2
221	370	2
222	371	2
222	371	2
221	371	2
221	371	2
221	370	2
221	370	2
220	370	2
219	370	2
219	368	2
218	367	2
218	366	2
217	365	2
214	366	2
210	366	1
206	367	1
196	370	1
190	370	1
186	368	1
182	367	1
180	367	1
176	367	1
174	367	1
172	367	1
170	367	1
166	368	1
164	368	1
162	369	1
158	370	1
160	370	1
160	370	1
160	370	1
162	370	1
162	370	1
162	371	1
162	371	1
162	371	1
162	372	1
160	372	1
160	372	1
160	374	1
160	374	1
158	374	1
158	374	1
158	374	1
156	374	1
156	374	1
154	375	1
154	375	1
154	375	1
154	375	1
152	375	1
152	375	1
152	375	1
152	375	1
152	375	1
152	375	1
152	375	1
154	375	1
154	375	1
154	375	1
156	374	1
156	374	1
158	374	1
158	374	1
158	374	1
158	374	1
158	374	1
158	374	1
160	374	1
160	374	1
158	374	1
158	374	1
158	374	1
158	374	1
158	374	1
160	374	1
160	374	1
160	374	1
160	374	1
162	374	1
164	374	1
166	374	1
168	374	1
168	374	1
170	374	1
174	372	1
176	372	1
178	372	1
180	371	1
255	358	2
257	355	2
257	353	2
259	351	2
259	350	2
257	346	2
257	346	2
257	342	2
255	341	1
255	337	2
255	337	2
253	333	2
251	333	2
251	333	2
249	333	2
247	333	2
245	336	2
243	337	1
241	342	1
239	346	1
237	349	1
235	351	1
237	351	1
237	351	1
233	353	1
233	353	1
233	353	1
231	353	1
231	351	1
229	351	1
229	350	1
229	350	1
227	349	1
227	346	1
225	346	1
223	345	1
223	345	1
221	344	2
221	342	2
219	342	2
217	342	3
217	342	3
217	342	3
219	342	3
223	344	3
223	345	3
227	346	3
227	346	3
229	346	3
231	346	3
231	346	3
231	346	3
229	346	3
229	346	3
229	346	3
229	346	3
229	346	3
229	346	3
229	346	3
229	346	3
229	346	3
229	346	3
229	345	3
231	344	3
229	342	2
231	344	2
233	345	2
235	346	2
235	346	2
243	415	2
243	415	2
243	415	2
241	415	1
241	415	2
243	419	2
243	419	2
245	420	2
251	420	2
